address,date,district,price,project,server,source,spider,subdistrict,title,url
 西部俊园 - 长寿路二手房出售 -长寿路777号,20180202015420,普陀,1100 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,A+首推有钥匙视频实勘复式生活起居分开不靠马路,http://sh.ganji.com/fang5/2927458183x.htm
 圣天地服务式... - 长寿路二手房出售 -江宁路1145弄,20180202015420,普陀,270 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,内环长寿路地铁口（70年住宅产权）九年一贯制江宁学校！可大刀,http://sh.ganji.com/fang5/2915972704x.htm
 华侨城 - 长寿路二手房出售 -西康路989弄,20180202015420,普陀,960 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,长寿路高品质小区，西康路989，小区环境安静优雅，品味生活,http://sh.ganji.com/fang5/2902777293x.htm
 圣天地服务式... - 长寿路二手房出售 -江宁路1145弄,20180202015420,普陀,280 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,每月租金5200元/月，70年住宅产权（地铁家门口）！,http://sh.ganji.com/fang5/2919445875x.htm
" 九茂小区 - 长寿路二手房出售 -安远路230弄,陕西北...",20180202015420,普陀,490 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,长寿路地铁+楼层好+业主急售+高区全明+送家具家电+随时看房,http://sh.ganji.com/fang5/3010383149x.htm
 世纪之门 - 长寿路二手房出售 -江宁路1415弄,20180202015420,普陀,478 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,长寿路站，精装修钥匙房，业主置换，跌价急卖，两房朝南，送家电,http://sh.ganji.com/fang5/2988197561x.htm
 大上海城市花... - 长寿路二手房出售 -宜昌路588弄,20180202015420,普陀,880 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,条件好有议价空间纯正板房前排视野好户型方正,http://sh.ganji.com/fang5/2910938448x.htm
 圣天地服务式... - 长寿路二手房出售 -江宁路1145弄,20180202015420,普陀,285 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,圣天地服务式公寓，小户型总价低，住宅房,http://sh.ganji.com/fang5/2918554488x.htm
 绿洲城市花园... - 长寿路二手房出售 -胶州路1216弄,20180202015420,普陀,2000 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,近地铁小区闹中取静，苏州河景观房，视野非常开阔，拎包入住,http://sh.ganji.com/fang5/2927607040x.htm
 圣天地服务式... - 长寿路二手房出售 -江宁路1145弄,20180202015420,普陀,420 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,圣天地服务式公寓51.82平米420.0万元,http://sh.ganji.com/fang5/2926687885x.htm
 上青佳园 - 长寿路二手房出售 -常德路1258弄,20180202015420,普陀,985 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,南北通板式三房地铁7号13号诚心出售,http://sh.ganji.com/fang5/2926686943x.htm
 圣天地服务式... - 长寿路二手房出售 -江宁路1145弄,20180202015420,普陀,270 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,内环内长寿路地铁口（70年住宅产权）九年一贯制的江宁学校！,http://sh.ganji.com/fang5/2926686910x.htm
 北枫桥园 - 长寿路二手房出售 -枫桥路14-36号,20180202015420,普陀,320 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,地铁家门口+对口朝春中心小学+4楼南北两房采光通透+随时看房,http://sh.ganji.com/fang5/2878644954x.htm
" 玉佛城 - 长寿路二手房出售 -江宁路1046,107...",20180202015420,普陀,1050 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,对口江宁，南北通大三房，高区采光无遮挡，房型正气，已买急售！,http://sh.ganji.com/fang5/2914317814x.htm
 大众河滨酒店... - 长寿路二手房出售 -长寿路888号,20180202015420,普陀,70 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,近地铁精装两房公寓+产权车位，租金7千即买即住+可网签通燃气,http://sh.ganji.com/fang5/2919393087x.htm
 浅水湾恺悦名... - 长寿路二手房出售 -澳门路330弄,20180202015420,普陀,765 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,浅水湾恺悦名城+2010年小区+精装一房+江宁小学+业主急售,http://sh.ganji.com/fang5/2910625477x.htm
 上海苏堤春晓... - 长寿路二手房出售 -长寿路800弄,20180202015420,普陀,780 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,双轨交接，苏州河环绕人车分流精装修2房房东诚意出售,http://sh.ganji.com/fang5/3004958552x.htm
 天纪公寓 - 长寿路二手房出售 -长寿路569弄5-7号,20180202015420,普陀,1200 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,精装电梯房1200万到手价出让,http://sh.ganji.com/fang5/2900036389x.htm
德怡苑- 长寿路二手房出售 ,20180202015420,普陀,520 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,出售2室一厅,http://sh.ganji.com/fang5/2864858344x.htm
 澳门新苑 - 长寿路二手房出售 -澳门路88弄,20180202015420,普陀,600 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,闹区中的世外桃源，让您体验惬意的生活，充分享受生活的美！！！,http://sh.ganji.com/fang5/2989830452x.htm
 万里真欣园 - 长寿路二手房出售 -真金路251弄,20180202015420,普陀,630 万元,esf,kys-MacBook-Air.local,http://sh.ganji.com/fang5/zhangshoulu/o2/,ganji,长寿路,"南北通,卧室带卫,地铁沿线,高区阳光房",http://sh.ganji.com/fang5/2883032112x.htm
